m_id,n,ns_per_op,bed,iterations,sr,ir,b_name
322,235446358,25.55,5s,1,1,2,BenchmarkParseLiteralStringValid/10ValidUtf8
323,2163346,2773.0,5s,1,1,2,BenchmarkParseLiteralStringValid/1kValidUtf8
324,2102,2850671.0,5s,1,1,2,BenchmarkParseLiteralStringValid/1MValidUtf8
325,77716450,76.27,5s,1,1,2,BenchmarkParseLiteralStringValid/10Valid
326,1785147,3360.0,5s,1,1,2,BenchmarkParseLiteralStringValid/1kValid
327,1741,3438692.0,5s,1,1,2,BenchmarkParseLiteralStringValid/1MValid
328,34688167,173.1,5s,1,1,2,BenchmarkParseBasicStringWithUnicode/4
329,8038808,740.6,5s,1,1,2,BenchmarkParseBasicStringWithUnicode/8
330,529369365,11.36,5s,1,1,2,BenchmarkParseBasicStringsEasy/1
331,362202795,16.49,5s,1,1,2,BenchmarkParseBasicStringsEasy/4
332,256065195,23.37,5s,1,1,2,BenchmarkParseBasicStringsEasy/8
333,161741941,36.89,5s,1,1,2,BenchmarkParseBasicStringsEasy/16
334,67821200,87.63,5s,1,1,2,BenchmarkParseBasicStringsEasy/21
335,192,30811216.0,5s,1,1,2,BenchmarkUnmarshalDataset/config
336,40,160012608.0,5s,1,1,2,BenchmarkUnmarshalDataset/canada
337,100,53005240.0,5s,1,1,2,BenchmarkUnmarshalDataset/citm_catalog
338,300,19914756.0,5s,1,1,2,BenchmarkUnmarshalDataset/twitter
339,44,136233276.0,5s,1,1,2,BenchmarkUnmarshalDataset/code
340,25514,236249.0,5s,1,1,2,BenchmarkUnmarshalDataset/example
341,6378126,935.8,5s,1,1,2,BenchmarkUnmarshal/SimpleDocument/struct
342,1762219,3363.0,5s,1,1,2,BenchmarkUnmarshal/SimpleDocument/map
343,87992,69338.0,5s,1,1,2,BenchmarkUnmarshal/ReferenceFile/struct
344,56505,102277.0,5s,1,1,2,BenchmarkUnmarshal/ReferenceFile/map
